studentID,name,age,email,phone,status,passingGrade,honorsEligible
STU001,Kwame Mensah,20,kmensah@ug.edu.gh,0241234567,Active,75,true
STU002,Abena Owusu,21,aowusu@knust.edu.gh,0549876543,Active,82,true
STU003,Kofi Appiah,19,kappiah@ucc.edu.gh,0271122334,Active,68,false
STU004,Ama Asare,22,aasare@ug.edu.gh,0504455667,Inactive,55,false
STU005,Akwasi Boateng,20,aboateng@knust.edu.gh,0207788990,Active,78,true
STU006,Adwoa Osei,23,adwoa.osei@student.ug.edu.gh,0543344556,Active,90,true
STU007,Yaw Antwi,19,yantwi@ucc.edu.gh,0276677889,Active,85,true
STU008,Afia Agyeman,21,aagyeman@ug.edu.gh,0509900112,Inactive,62,false
STU009,Kwesi Amoah,22,kamoah@knust.edu.gh,0245566778,Active,72,false
STU010,Akosua Addo,20,aaddo@ucc.edu.gh,0541122334,Active,80,true
STU011,Kwabena Obeng,21,kobeng@ug.edu.gh,0204455667,Inactive,65,false
STU012,Maame Ansah,19,mansah@student.knust.edu.gh,0278899001,Active,70,false
STU013,Kojo Adu,23,kadu@ucc.edu.gh,0503344556,Active,88,true
STU014,Esi Afful,20,eafful@ug.edu.gh,0247788990,Inactive,58,false
STU015,Kwaku Afrifa,22,kafrifa@knust.edu.gh,0549900112,Active,75,true
STU016,Abena Afriyie,21,aafriyie@ucc.edu.gh,0201122334,Active,82,true
STU017,Yaa Agyei,19,yagyei@ug.edu.gh,0274455667,Inactive,60,false
STU018,Kofi Amankwah,20,kamankwah@student.knust.edu.gh,0506677889,Active,77,true
STU019,Ama Ampofo,22,aampofo@ucc.edu.gh,0240011223,Active,92,true
STU020,Akwasi Annan,21,aannan@ug.edu.gh,0543344556,Inactive,68,false
STU021,Adwoa Asamoah,23,aasamoah@knust.edu.gh,0207788990,Active,84,true
STU022,Yaw Asante,19,yasante@ucc.edu.gh,0279900112,Active,73,false
STU023,Afia Ashong,20,fashong@ug.edu.gh,0501122334,Inactive,50,false
STU024,Kwesi Atta,22,katta@student.knust.edu.gh,0244455667,Active,89,true
STU025,Akosua Baah,21,abaah@ucc.edu.gh,0546677889,Active,81,true
STU026,Kwabena Boadu,20,kboadu@ug.edu.gh,0200011223,Inactive,59,false
STU027,Maame Dankwa,19,mdankwa@knust.edu.gh,0273344556,Active,79,true
STU028,Kojo Darko,23,kdarko@ucc.edu.gh,0507788990,Active,66,false
STU029,Esi Duah,22,eduah@ug.edu.gh,0249900112,Inactive,53,false
STU030,Kwaku Dwumah,21,kdwumah@student.knust.edu.gh,0541122334,Active,91,true
STU031,Abena Essien,20,aessien@ucc.edu.gh,0204455667,Active,74,false
